id,short_name,name,country,max_distance_to_land,lat_min_box,lat_max_box,lon_min_box,lon_max_box,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
604,GLWD00000604,Shala,Ethiopia,6.9,7.3542,7.5792,38.3458,38.6708,7.4625,38.5458,True,False,True,True,True
608,GLWD00000608,Orel',Russian Federation,5.7,53.2958,53.6208,139.5708,139.9958,53.4597,139.7181,False,False,True,True,True
609,GLWD00000609,Hoh Xil,China,5.3,35.4708,35.6958,90.8875,91.3625,35.5931,91.0736,True,False,True,True,True
612,GLWD00000612,Bolshiye-Kizi-Ozero,Russian Federation,3.8,51.4958,51.7708,140.0458,140.7958,51.6542,140.2569,False,False,True,True,True
613,GLWD00000613,Tshangalele,Congo The Democratic Republic of the,3.7,-11.0625,-10.7125,26.9125,27.2875,-10.9375,27.0514,False,False,True,True,True
616,GLWD00000616,Chomen,Ethiopia,4.1,9.3458,9.6458,37.1042,37.3958,9.5319,37.2236,False,False,True,True,True
618,GLWD00000618,St. Lucia,South Africa,3.7,-28.3458,-27.8375,32.3208,32.6125,-27.9903,32.4764,False,False,True,True,True
620,GLWD00000620,Dongting-Lake,China,6.8,28.6792,29.5708,111.7958,113.1875,29.2292,112.8569,True,False,True,True,True
622,GLWD00000622,Maharana-Pratap-Reservoir,India,4.6,31.8375,32.1458,75.9125,76.2458,31.9847,76.0542,True,False,True,True,True
623,GLWD00000623,Daguan,China,5.3,29.8958,30.1625,116.1875,116.5708,29.9931,116.4569,False,False,True,True,True
624,GLWD00000624,Swan,Canada,4,52.3125,52.6792,-100.9042,-100.5542,52.4125,-100.6569,True,False,True,True,True
627,GLWD00000627,Dian Chi,China,5.4,24.6292,25.0625,102.5625,102.8208,24.8681,102.7181,False,False,True,True,True
629,GLWD00000629,Dabsan,China,4.3,36.8125,37.1208,94.7292,95.3375,37.0458,95.0514,False,False,True,True,True
630,GLWD00000630,Achit,Mongolia,6.1,49.3542,49.6458,90.3708,90.7292,49.4875,90.5236,True,False,True,True,True
632,GLWD00000632,Tustumena,United States,5.1,59.9958,60.3458,-151.2042,-150.5792,60.2153,-150.9125,True,False,True,True,True
633,GLWD00000633,Timiskaming,Canada,2.8,46.6792,47.6292,-79.7125,-79.0708,47.5375,-79.5458,False,False,True,True,True
634,GLWD00000634,Iznik,Turkey,5.6,40.3458,40.5458,29.2958,29.7542,40.4375,29.5125,True,False,True,True,True
635,GLWD00000635,Belot,Canada,5.9,66.6958,67.0625,-126.4792,-126.0542,66.9458,-126.2931,True,False,True,True,True
637,GLWD00000637,Hondo,Argentina,6,-27.6708,-27.4125,-65.1458,-64.8375,-27.5431,-64.9931,False,False,True,True,True
639,GLWD00000639,Xijir Ulan,China,5.7,35.1125,35.3292,90.0542,90.6708,35.2069,90.3125,False,False,True,True,True
645,GLWD00000645,Boon Tsagaan,Mongolia,7.3,45.4708,45.7208,98.8958,99.2958,45.5903,99.1597,False,False,True,True,True
646,GLWD00000646,Clearwater,Canada,7.2,53.9375,54.1958,-101.2542,-100.8375,54.0569,-101.0653,False,False,True,True,True
648,GLWD00000648,Rogaguado-Lake,Bolivia Plurinational State of,6.5,-13.1875,-12.8792,-66.0625,-65.8208,-13.0069,-65.9458,False,False,True,True,True
649,GLWD00000649,Puma-Yumco,China,5.9,28.4542,28.6625,90.1958,90.5792,28.5681,90.4264,False,False,True,True,True
654,GLWD00000654,Siljan,Sweden,5.4,60.6792,61.0458,14.4458,15.1542,60.8653,14.7597,False,False,True,True,True
