"date","mean_temp","temp_C"
2004-04-03,279.811357383955,6.66135738395496
2004-04-05,280.8214802115,7.67148021149978
2004-04-06,281.078151614013,7.92815161401302
2004-04-07,280.754993726499,7.60499372649952
2004-04-15,281.008630084467,7.85863008446654
2004-04-16,283.223167474858,10.0731674748579
2004-04-22,282.241046324862,9.09104632486248
2004-04-25,284.820577828066,11.6705778280664
2004-04-27,283.150759438716,10.0007594387156
2004-04-28,283.909084565091,10.759084565091
2004-05-01,284.628666206288,11.4786662062878
2004-05-04,283.815493658092,10.6654936580919
2004-05-05,283.464993665926,10.314993665926
2004-05-07,282.473593688086,9.32359368808574
2004-05-10,284.851360822438,11.7013608224385
2004-05-12,285.811553897164,12.6615538971644
2004-05-15,286.924911621378,13.7749116213779
2004-05-16,289.5206212362,16.3706212362
2004-05-18,286.600032658353,13.4500326583525
2004-05-20,285.759993614629,12.609993614629
2004-05-21,286.416724369181,13.2667243691806
2004-05-22,287.707221104566,14.5572211045658
2004-05-23,287.04878668927,13.8987866892704
2004-05-24,287.981923389526,14.8319233895263
2004-05-26,287.732898598464,14.582898598464
2004-05-29,286.567968280114,13.4179682801135
2004-05-30,288.95716745621,15.80716745621
2004-06-01,288.113657684158,14.9636576841579
2004-06-06,288.089993562549,14.939993562549
2004-06-10,289.541470527685,16.391470527685
2004-06-14,289.900273242366,16.7502732423662
2004-06-16,290.029015258339,16.8790152583394
2004-06-17,289.106660206492,15.9566602064917
2004-06-19,288.869695037659,15.719695037659
2004-06-20,288.894993544556,15.7449935445562
2004-06-25,290.039993518963,16.889993518963
2004-06-30,288.808175364679,15.6581753646786
2004-07-03,285.559993619099,12.409993619099
2004-07-06,286.77999359183,13.62999359183
2004-07-07,289.369813677828,16.219813677828
2004-07-09,289.042924575732,15.8929245757325
2004-07-12,288.976868542726,15.8268685427262
2004-07-16,288.893629908223,15.743629908223
2004-07-19,289.331179975485,16.1811799754846
2004-07-22,289.417831370708,16.2678313707078
2004-07-30,291.021307365642,17.8713073656425
2004-07-31,291.970962638799,18.8209626387986
2004-08-01,290.361193511784,17.2111935117841
2004-08-02,290.916301191684,17.7663011916842
2004-08-04,290.502545956177,17.3525459561771
2004-08-07,285.954730452381,12.8047304523814
2004-08-11,291.293326824282,18.1433268242825
2004-08-16,292.318901317855,19.1689013178552
2004-08-17,289.677993527055,16.5279935270548
2004-08-20,290.918175317516,17.7681753175164
2004-08-27,289.195549093394,16.0455490933939
2004-08-29,289.548106737505,16.3981067375051
2004-09-01,287.663743572076,14.5137435720764
2004-09-07,289.881526369221,16.7315263692209
2004-09-08,289.77180549077,16.6218054907699
2004-09-09,289.444443293041,16.2944432930406
2004-09-11,289.508537220163,16.3585372201628
2004-09-14,288.053551845572,14.9035518455725
2004-09-17,287.748313242318,14.5983132423177
2004-09-18,287.288882469345,14.1388824693446
2004-09-20,287.253013383238,14.1030133832376
2004-09-21,286.519993597641,13.3699935976415
2004-09-24,284.049965875073,10.8999658750732
2004-09-25,287.007379950384,13.8573799503841
2004-09-28,286.945131202818,13.795131202818
2004-09-30,286.663786697876,13.5137866978757
