"date","mean_chla"
2018-04-17,7.24616324901582
2018-04-21,28.2680132389068
2018-04-25,21.4723034262657
2018-04-27,26.5585772676288
2018-04-30,22.7752677314789
2018-05-10,18.8302537032836
2018-05-12,32.0223602305805
2018-05-13,12.9886475959068
2018-05-14,9.87463830723319
2018-05-16,18.1199620368553
2018-05-19,6.12116684193413
2018-05-24,17.9761618123358
2018-05-26,13.0151916466108
2018-05-27,0.221585467457771
2018-05-28,31.8205953854114
2018-05-30,12.3559010700347
2018-06-03,0.791913230282565
2018-06-06,11.3095853191457
2018-06-07,3.95096804441451
2018-06-08,0.251593838756283
2018-06-09,193.200889587403
2018-06-11,0.898808717727661
2018-06-12,2.94879988394678
2018-06-18,5.02509349832931
2018-06-22,16.1809322602219
2018-06-24,38.8055614149996
2018-06-27,10.9678816369775
2018-06-28,30.5978116028215
2018-06-30,22.6581107222322
2018-07-01,27.8605116123245
2018-07-03,17.7815078333862
2018-07-04,19.1628677749062
2018-07-05,21.5901474813899
2018-07-06,26.5150862929802
2018-07-09,16.1860065629395
2018-07-19,4.26691153432642
2018-07-30,13.4354018355752
2018-08-04,7.55702638626099
2018-08-09,16.2517861177524
2018-08-16,13.0821908831597
2018-08-31,11.6483646558355
2018-09-03,0.239029929041862
2018-09-12,16.4609428723914
2018-09-21,18.8481441239516
2018-09-24,20.8217509455151
2018-09-30,19.1821485459805
