"date","mean_temp","temp_C"
"1995-06-12",287.387493578252,14.2374935782515
"1995-06-25",291.839993478731,18.6899934787307
"1995-06-28",293.889993432909,20.7399934329093
"1995-07-30",293.653993438185,20.5039934381846
"1995-08-02",294.579993417486,21.4299934174865
"1995-08-05",295.125447950749,21.9754479507491
"1995-08-08",293.640993438475,20.4909934384748
"1995-08-21",293.669993437827,20.5199934378267
"1995-09-16",288.529993552715,15.379993552715
"1996-07-11",289.459993531928,16.3099935319277
"1996-07-14",289.767136382205,16.617136382205
"1996-07-17",291.458564915827,18.3085649158273
"1996-07-20",292.663326793661,19.5133267936606
"1996-09-06",289.577771307073,16.4277713070728
"1996-09-12",287.826660235102,14.6766602351017
"1996-09-15",285.989993609488,12.839993609488
"1997-04-20",283.249993670731,10.0999936707315
"1997-05-31",288.96999354288,15.81999354288
"1997-06-16",289.889993522316,16.739993522316
"1997-07-21",292.565993462503,19.4159934625033
"1997-07-31",289.827993523702,16.6779935237016
"1997-09-10",286.958455126303,13.8084551263029
"1997-09-13",284.04999365285,10.89999365285
"1998-04-11",278.474539232017,5.324539232017
"1998-04-18",280.731422298455,7.58142229845515
"1998-05-03",284.047052476446,10.8970524764457
"1998-05-16",288.675993549451,15.5259935494512
"1998-06-11",285.624279331948,12.474279331948
"1998-06-17",287.51999357529,14.36999357529
"1998-07-03",289.729084435004,16.5790844350038
"1998-08-29",289.599993528798,16.449993528798
"1998-09-14",287.129993584007,13.979993584007
"1998-09-21",289.42090262371,16.2709026237103
"1999-05-01",284.879993634298,11.729993634298
"1999-05-14",285.707993615791,12.5579936157914
"1999-07-26",290.711660170617,17.5616601706172
"1999-08-02",291.766660147036,18.616660147036
"1999-08-21",288.168882449675,15.0188824496749
"1999-09-02",289.61199352853,16.46199352853
"1999-09-09",285.309993624687,12.1599936246873
"1999-09-15",287.971170035793,14.8211700357934
"1999-09-28",286.249993603677,13.099993603677
"2000-04-05",280.607993729785,7.45799372978502
"2000-04-30",284.453993643821,11.3039936438206
"2000-05-01",285.932493610773,12.7824936107733
"2000-05-04",285.072850772845,11.922850772845
